,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,notes,NOTES,text,,,,,y,y,y,,y,y,,y,y,y,,y,y,,y,y,y,-,y,y,,y,y,y,-,y,y,,,,,,,,,
,fixture_delta_p,Fixture ?P,float,,,,,,,,,y,,,,,,,y,,,,,,,y,,,y,y,y,,y,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combo Box Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refrigerant,System Voltage,Store type,Prototype,SYSTEM TYPE,defrost voltage,Condenser type,OEM,BAS Controller Man.,Heat Reclaim Use,Skid Model,Enter Application ,Abbreviation,Def. Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R134A,208/220V  3Ph 60Hz,Supercenter,15 Prototype,House / Central DX, OFF TIME,Air,Kysor Warren,Novar,Air,WMT-SEC-CO2-1/10-460,Bakery Desserts,,HG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R22,460V  3Ph 60Hz,Sam's Club,39 Prototype,Machine Room / Central DX, 208V 60Hz 1 or 3 Ph,Water,Hussmann,Carel,Hot Water,WMT-SEC-CO2-1/10-208,Cheese Island,CHEESE ISL,EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R404A,347V  3Ph 60Hz,Neighborhood Mkt,90 Prototype,Distributed DX, 460V 60Hz 1 or 3 Ph,Fluid,Hill Phoenix,Copeland,Air & Hot H20,WMT-SEC-GLY-20/95-460,Chilled Soup,,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R407A,600V  3Ph 60Hz,Division I,98 Prototype,Hybrid House, 460V or 208V 60 Hz ,Adiabatic,Carrier,Danfoss,Glycol Heating,WMT-SEC-GLY-20/95-208,Deli Promo Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R407C,,,100 Prototype,Compressor House, 347V 60Hz 1 or 3 Ph,Evap Condr,Zero Zone,,N/A,WMT-SEC-GLY-32/160-460,Dairy Promo Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R410A,,,120 Prototype,Glycol / Modular DX, 600V 60Hz 1 or 3 Ph,Evap Fluid,RAE Corporation,,,WMT-SEC-GLY-32/160-208,Door Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R422D,,,136 Prototype,Transcritical Distributed, 600V or 347V 60 Hz ,,,,,,End Of Loop Bypass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R448A,,,143 Prototype,CO2 Liquid Overfeed / Parallel DX,,,,,,,Evap. Coil Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R449A,,,150 Prototype,Weather Pac,,,,,,,Floral,FLORAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R507A,,,153 Prototype,,,,,,,,Full Service Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R513A,,,176 Prototype,,,,,,,,Gourmet Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R744,,,180 Prototype,,,,,,,,Grab-N-Go,GRAB N GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glycol_20%,,,195 Prototype,,,,,,,,Home Meal Replacement,HMRP ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glycol_25%,,,Expansion,,,,,,,,Island Dairy,DAIRY ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glycol_30%,,,FLEX,,,,,,,,Island Fresh Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glycol_35%,,,Renovation,,,,,,,,M.D. Bakery,MD BKRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glycol_40%,,,,,,,,,,,M.D. Beer,MD BEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon Dioxide,,,,,,,,,,,M.D. Cake,MD CAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ammonia,,,,,,,,,,,M.D. Dairy,MD DAIRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
